year,canonical_branch,category,quota,seat_count
2025,ELECTRICAL ENGG.,BC(PH),HOME STATE,1
2025,ELECTRICAL ENGG.,SC,HOME STATE,11
2025,ELECTRICAL ENGG.,SC(GIRL),HOME STATE,3
2025,ELECTRICAL ENGG.,SC(AF),HOME STATE,1
2025,ELECTRICAL ENGG.,SC(FF),HOME STATE,0
2025,ELECTRICAL ENGG.,SC(PH),HOME STATE,1
2025,ELECTRICAL ENGG.,ST,HOME STATE,1
2025,ELECTRICAL ENGG.,ST(GIRL),HOME STATE,0
2025,ELECTRICAL ENGG.,ST(AF),HOME STATE,0
2025,ELECTRICAL ENGG.,ST(FF),HOME STATE,0
2025,ELECTRICAL ENGG.,ST(PH),HOME STATE,0
2025,ELECTRICAL ENGG.,EWS,HOME STATE,5
2025,ELECTRICAL ENGG.,EWS(GIRL),HOME STATE,2
2025,ELECTRICAL ENGG.,EWS(AF),HOME STATE,1
2025,ELECTRICAL ENGG.,EWS(FF),HOME STATE,0
2025,ELECTRICAL ENGG.,EWS(PH),HOME STATE,0
2025,ELECTRICAL ENGG.,OPEN,TFW,3
2025,ELECTRICAL ENGG.,OPEN,OTHER STATE,1
2025,ELECTRICAL ENGG.,BC,OTHER STATE,1
2025,ELECTRICAL ENGG.,SC,OTHER STATE,1
2025,ELECTRICAL ENGG.,ST,OTHER STATE,0
2025,MECHANICAL ENGG.,OPEN,HOME STATE,20
2025,MECHANICAL ENGG.,OPEN(GIRL),HOME STATE,6
2025,MECHANICAL ENGG.,OPEN(AF),HOME STATE,1
2025,MECHANICAL ENGG.,OPEN(FF),HOME STATE,1
2025,MECHANICAL ENGG.,OPEN(PH),HOME STATE,2
2025,MECHANICAL ENGG.,BC,HOME STATE,14
2025,MECHANICAL ENGG.,BC(GIRL),HOME STATE,4
2025,MECHANICAL ENGG.,BC(AF),HOME STATE,1
2025,MECHANICAL ENGG.,BC(FF),HOME STATE,0
2025,MECHANICAL ENGG.,BC(PH),HOME STATE,1
2025,MECHANICAL ENGG.,SC,HOME STATE,10
2025,MECHANICAL ENGG.,SC(GIRL),HOME STATE,3
2025,MECHANICAL ENGG.,SC(AF),HOME STATE,1
2025,MECHANICAL ENGG.,SC(FF),HOME STATE,1
2025,MECHANICAL ENGG.,SC(PH),HOME STATE,1
2025,MECHANICAL ENGG.,ST,HOME STATE,1
2025,MECHANICAL ENGG.,ST(GIRL),HOME STATE,0
