year,round,branch,category,quota,opening_rank,closing_rank
2023,Round 1,CIVIL ENGG.,BC(FF),Home State,200704,200704
2023,Round 1,CIVIL ENGG.,BC(GIRL),Home State,71452,79689
2023,Round 1,CIVIL ENGG.,BC,Home State,54306,59956
2023,Round 1,CIVIL ENGG.,BC(PH),Home State,861246,861246
2023,Round 1,CIVIL ENGG.,EWS(AF),Home State,122531,122531
2023,Round 1,CIVIL ENGG.,EWS(GIRL),Home State,63526,63526
2023,Round 1,CIVIL ENGG.,EWS,Home State,51987,54185
2023,Round 1,CIVIL ENGG.,OPEN(AF),Home State,60671,60671
2023,Round 1,CIVIL ENGG.,OPEN(FF),Home State,119399,119399
2023,Round 1,CIVIL ENGG.,OPEN GIRL,Home State,52502,59801
2023,Round 1,CIVIL ENGG.,OPEN,Home State,39607,50265
2023,Round 1,CIVIL ENGG.,OPEN(PH),Home State,795681,859717
2023,Round 1,CIVIL ENGG.,SC(AF),Home State,289889,289889
2023,Round 1,CIVIL ENGG.,SC(GIRL),Home State,139811,193630
2023,Round 1,CIVIL ENGG.,SC,Home State,126829,157784
2023,Round 1,CIVIL ENGG.,ST(GIRL),Home State,284015,284015
2023,Round 1,CIVIL ENGG.,ST,Home State,327621,327621
2023,Round 1,CIVIL ENGG. (FW),OPEN (TF),Home State,39662,51587
2023,Round 1,COMPUTER SC. & ENGG.,BC,All India,19078,19078
2023,Round 1,COMPUTER SC. & ENGG.,OPEN,All India,7005,8092
2023,Round 1,COMPUTER SC. & ENGG.,BC(AF),Home State,34055,34055
2023,Round 1,COMPUTER SC. & ENGG.,BC(FF),Home State,54922,54922
2023,Round 1,COMPUTER SC. & ENGG.,BC(GIRL),Home State,32701,42288
2023,Round 1,COMPUTER SC. & ENGG.,BC,Home State,21744,30127
2023,Round 1,COMPUTER SC. & ENGG.,BC(PH),Home State,158762,158762
2023,Round 1,COMPUTER SC. & ENGG.,EWS(GIRL),Home State,29732,29732
2023,Round 1,COMPUTER SC. & ENGG.,EWS,Home State,20230,24166
2023,Round 1,COMPUTER SC. & ENGG.,EWS(PH),Home State,280903,280903
2023,Round 1,COMPUTER SC. & ENGG.,OPEN(AF),Home State,26126,26407
2023,Round 1,COMPUTER SC. & ENGG.,OPEN GIRL,Home State,16377,23457
2023,Round 1,COMPUTER SC. & ENGG.,OPEN,Home State,9948,19737
2023,Round 1,COMPUTER SC. & ENGG.,OPEN(PH),Home State,88249,89587
2023,Round 1,COMPUTER SC. & ENGG.,SC(AF),Home State,75201,75201
2023,Round 1,COMPUTER SC. & ENGG.,SC(GIRL),Home State,83183,106539
2023,Round 1,COMPUTER SC. & ENGG.,SC,Home State,41012,69275
2023,Round 1,COMPUTER SC. & ENGG.,SC(PH),Home State,471526,471526
2023,Round 1,COMPUTER SC. & ENGG.,ST,Home State,194646,194646
2023,Round 1,COMPUTER SC. & ENGG. (FW),OPEN (TF),Home State,13185,18093
2023,Round 1,ELECTRICAL ENGG.,BC,All India,50479,50479
2023,Round 1,ELECTRICAL ENGG.,OPEN,All India,28190,28190
2023,Round 1,ELECTRICAL ENGG.,SC,All India,107154,107154
2023,Round 1,ELECTRICAL ENGG.,BC(AF),Home State,68389,68389
2023,Round 1,ELECTRICAL ENGG.,BC(GIRL),Home State,51636,57399
2023,Round 1,ELECTRICAL ENGG.,BC,Home State,39827,47047
2023,Round 1,ELECTRICAL ENGG.,BC(PH),Home State,471418,471418
2023,Round 1,ELECTRICAL ENGG.,EWS(AF),Home State,57502,57502
2023,Round 1,ELECTRICAL ENGG.,EWS(GIRL),Home State,45632,45875
2023,Round 1,ELECTRICAL ENGG.,EWS,Home State,35009,39825
2023,Round 1,ELECTRICAL ENGG.,OPEN(AF),Home State,46954,46954
2023,Round 1,ELECTRICAL ENGG.,OPEN(FF),Home State,94502,94502
2023,Round 1,ELECTRICAL ENGG.,OPEN GIRL,Home State,35019,44460
2023,Round 1,ELECTRICAL ENGG.,OPEN,Home State,26013,34971
2023,Round 1,ELECTRICAL ENGG.,OPEN(PH),Home State,171703,446732
2023,Round 1,ELECTRICAL ENGG.,SC(AF),Home State,153301,153301
2023,Round 1,ELECTRICAL ENGG.,SC(GIRL),Home State,160284,171375
2023,Round 1,ELECTRICAL ENGG.,SC,Home State,111040,135215
2023,Round 1,ELECTRICAL ENGG.,ST,Home State,218061,218061
2023,Round 1,ELECTRICAL ENGG. (FW),OPEN (TF),Home State,25525,34779
2023,Round 1,ELECTRONICS ENGG.,BC,All India,26882,26882
2023,Round 1,ELECTRONICS ENGG.,OPEN,All India,18017,24625
2023,Round 1,ELECTRONICS ENGG.,BC(AF),Home State,48604,48604
2023,Round 1,ELECTRONICS ENGG.,BC(FF),Home State,185684,185684
2023,Round 1,ELECTRONICS ENGG.,BC(GIRL),Home State,47876,51157
2023,Round 1,ELECTRONICS ENGG.,BC,Home State,32261,39211
2023,Round 1,ELECTRONICS ENGG.,BC(PH),Home State,532295,532295
2023,Round 1,ELECTRONICS ENGG.,EWS(GIRL),Home State,38761,38761
2023,Round 1,ELECTRONICS ENGG.,EWS,Home State,31836,34118
2023,Round 1,ELECTRONICS ENGG.,EWS(PH),Home State,839320,839320
2023,Round 1,ELECTRONICS ENGG.,OPEN(AF),Home State,37681,44767
2023,Round 1,ELECTRONICS ENGG.,OPEN(FF),Home State,66499,66499
2023,Round 1,ELECTRONICS ENGG.,OPEN GIRL,Home State,30038,33882
2023,Round 1,ELECTRONICS ENGG.,OPEN,Home State,22335,30077
2023,Round 1,ELECTRONICS ENGG.,OPEN(PH),Home State,267993,267993
2023,Round 1,ELECTRONICS ENGG.,SC(AF),Home State,211934,211934
2023,Round 1,ELECTRONICS ENGG.,SC(GIRL),Home State,134581,158633
2023,Round 1,ELECTRONICS ENGG.,SC,Home State,98442,119903
2023,Round 1,ELECTRONICS ENGG.,ST(GIRL),Home State,227429,227429
2023,Round 1,ELECTRONICS ENGG.,ST,Home State,271959,271959
2023,Round 1,ELECTRONICS ENGG. (FW),OPEN (TF),Home State,26372,27556
2023,Round 1,MECHANICAL ENGG.,BC,All India,46433,46433
2023,Round 1,MECHANICAL ENGG.,OPEN,All India,34649,34649
2023,Round 1,MECHANICAL ENGG.,SC,All India,148398,148398
2023,Round 1,MECHANICAL ENGG.,BC(AF),Home State,71019,71019
2023,Round 1,MECHANICAL ENGG.,BC(GIRL),Home State,59519,66815
2023,Round 1,MECHANICAL ENGG.,BC,Home State,45346,52129
2023,Round 1,MECHANICAL ENGG.,BC(PH),Home State,709651,709651
2023,Round 1,MECHANICAL ENGG.,EWS(AF),Home State,104040,104040
2023,Round 1,MECHANICAL ENGG.,EWS(GIRL),Home State,56936,56936
2023,Round 1,MECHANICAL ENGG.,EWS,Home State,43522,45623
2023,Round 1,MECHANICAL ENGG.,OPEN(AF),Home State,58029,58029
2023,Round 1,MECHANICAL ENGG.,OPEN(FF),Home State,228470,228470
2023,Round 1,MECHANICAL ENGG.,OPEN GIRL,Home State,44473,51377
2023,Round 1,MECHANICAL ENGG.,OPEN,Home State,35122,41455
2023,Round 1,MECHANICAL ENGG.,OPEN(PH),Home State,479605,588521
2023,Round 1,MECHANICAL ENGG.,SC(AF),Home State,233368,233368
2023,Round 1,MECHANICAL ENGG.,SC(GIRL),Home State,178320,204072
2023,Round 1,MECHANICAL ENGG.,SC,Home State,135948,149400
2023,Round 1,MECHANICAL ENGG.,ST,Home State,323907,323907
2023,Round 1,MECHANICAL ENGG. (FW),OPEN (TF),Home State,35580,44127
2023,Round 1,CHEMICAL ENGG.,BC,All India,54583,54583
2023,Round 1,CHEMICAL ENGG.,OPEN,All India,31114,33952
2023,Round 1,CHEMICAL ENGG.,BC(AF),Home State,73551,73551
2023,Round 1,CHEMICAL ENGG.,BC(GIRL),Home State,53658,69087
2023,Round 1,CHEMICAL ENGG.,BC,Home State,47832,58066
2023,Round 1,CHEMICAL ENGG.,EWS(GIRL),Home State,60500,63565
