Sr.No,Round ▲▼,Institute ▲▼,Program ▲▼,Quota ▲▼,Category ▲▼,Opening Rank ▲▼,Closing Rank ▲▼,Round_Name
1,Round 1,"Harcourt Butler Technical University, Kanpur",CHEMICAL TECHNOLOGY (FOOD TECHNOLOGY),All India,SC,325421.0,325421.0,Round 1
2,Round 1,"Harcourt Butler Technical University, Kanpur",CHEMICAL TECHNOLOGY (FOOD TECHNOLOGY),Home State,BC(AF),121010.0,121010.0,Round 1
3,Round 1,"Harcourt Butler Technical University, Kanpur",CHEMICAL TECHNOLOGY (FOOD TECHNOLOGY),Home State,BC(GIRL),102821.0,115362.0,Round 1
4,Round 1,"Harcourt Butler Technical University, Kanpur",CHEMICAL TECHNOLOGY (FOOD TECHNOLOGY),Home State,BC,100988.0,116141.0,Round 1
5,Round 1,"Harcourt Butler Technical University, Kanpur",CHEMICAL TECHNOLOGY (FOOD TECHNOLOGY),Home State,EWS(GIRL),111413.0,115123.0,Round 1
6,Round 1,"Harcourt Butler Technical University, Kanpur",CHEMICAL TECHNOLOGY (FOOD TECHNOLOGY),Home State,EWS,101429.0,105415.0,Round 1
7,Round 1,"Harcourt Butler Technical University, Kanpur",CHEMICAL TECHNOLOGY (FOOD TECHNOLOGY),Home State,OPEN(AF),103981.0,103981.0,Round 1
8,Round 1,"Harcourt Butler Technical University, Kanpur",CHEMICAL TECHNOLOGY (FOOD TECHNOLOGY),Home State,OPEN(FF),1096954.0,1096954.0,Round 1
9,Round 1,"Harcourt Butler Technical University, Kanpur",CHEMICAL TECHNOLOGY (FOOD TECHNOLOGY),Home State,OPEN GIRL,56908.0,101047.0,Round 1
10,Round 1,"Harcourt Butler Technical University, Kanpur",CHEMICAL TECHNOLOGY (FOOD TECHNOLOGY),Home State,OPEN,72810.0,94019.0,Round 1
11,Round 1,"Harcourt Butler Technical University, Kanpur",CHEMICAL TECHNOLOGY (FOOD TECHNOLOGY),Home State,SC(AF),500483.0,500483.0,Round 1
12,Round 1,"Harcourt Butler Technical University, Kanpur",CHEMICAL TECHNOLOGY (FOOD TECHNOLOGY),Home State,SC(GIRL),320192.0,330984.0,Round 1
13,Round 1,"Harcourt Butler Technical University, Kanpur",CHEMICAL TECHNOLOGY (FOOD TECHNOLOGY),Home State,SC,213222.0,295359.0,Round 1
14,Round 1,"Harcourt Butler Technical University, Kanpur",CHEMICAL TECHNOLOGY (FOOD TECHNOLOGY),Home State,ST(GIRL),719869.0,719869.0,Round 1
15,Round 1,"Harcourt Butler Technical University, Kanpur",CHEMICAL TECHNOLOGY (FOOD TECHNOLOGY) (TFW),Home State,OPEN (TF),80658.0,87212.0,Round 1
16,Round 1,"Harcourt Butler Technical University, Kanpur",CHEMICAL TECHNOLOGY (PAINT TECHNOLOGY),All India,OPEN,38790.0,53230.0,Round 1
