Sr.No,Round ▲▼,Institute ▲▼,Program ▲▼,Quota ▲▼,Category ▲▼,Opening Rank ▲▼,Closing Rank ▲▼,Round_Name
50,Round 1,"Harcourt Butler Technical University, Kanpur",FOOD TECHNOLOGY,Home State,BC(GIRL),79032,99662,Round 1
51,Round 1,"Harcourt Butler Technical University, Kanpur",FOOD TECHNOLOGY,Home State,BC,70332,84583,Round 1
52,Round 1,"Harcourt Butler Technical University, Kanpur",FOOD TECHNOLOGY,Home State,EWS(GIRL),80020,80068,Round 1
53,Round 1,"Harcourt Butler Technical University, Kanpur",FOOD TECHNOLOGY,Home State,EWS,72419,78038,Round 1
54,Round 1,"Harcourt Butler Technical University, Kanpur",FOOD TECHNOLOGY,Home State,OPEN(AF),91208,91208,Round 1
55,Round 1,"Harcourt Butler Technical University, Kanpur",FOOD TECHNOLOGY,Home State,OPEN(FF),409914,409914,Round 1
56,Round 1,"Harcourt Butler Technical University, Kanpur",FOOD TECHNOLOGY,Home State,OPEN GIRL,51633,73581,Round 1
57,Round 1,"Harcourt Butler Technical University, Kanpur",FOOD TECHNOLOGY,Home State,OPEN,35234,68864,Round 1
58,Round 1,"Harcourt Butler Technical University, Kanpur",FOOD TECHNOLOGY,Home State,SC(AF),654021,654021,Round 1
59,Round 1,"Harcourt Butler Technical University, Kanpur",FOOD TECHNOLOGY,Home State,SC(GIRL),207902,270213,Round 1
60,Round 1,"Harcourt Butler Technical University, Kanpur",FOOD TECHNOLOGY,Home State,SC,164291,229585,Round 1
61,Round 1,"Harcourt Butler Technical University, Kanpur",FOOD TECHNOLOGY,Home State,ST(GIRL),387175,387175,Round 1
62,Round 1,"Harcourt Butler Technical University, Kanpur",FOOD TECHNOLOGY (FW),Home State,OPEN (TF),52403,62028,Round 1
63,Round 1,"Harcourt Butler Technical University, Kanpur",PAINT TECHNOLOGY,All India,OPEN,48820,50111,Round 1
64,Round 1,"Harcourt Butler Technical University, Kanpur",PAINT TECHNOLOGY,All India,SC,187121,187121,Round 1
65,Round 1,"Harcourt Butler Technical University, Kanpur",PAINT TECHNOLOGY,Home State,BC(AF),98661,98661,Round 1
66,Round 1,"Harcourt Butler Technical University, Kanpur",PAINT TECHNOLOGY,Home State,BC(GIRL),73754,89201,Round 1
67,Round 1,"Harcourt Butler Technical University, Kanpur",PAINT TECHNOLOGY,Home State,BC,66279,77693,Round 1
68,Round 1,"Harcourt Butler Technical University, Kanpur",PAINT TECHNOLOGY,Home State,EWS(GIRL),75460,75460,Round 1
69,Round 1,"Harcourt Butler Technical University, Kanpur",PAINT TECHNOLOGY,Home State,EWS,65861,72015,Round 1
70,Round 1,"Harcourt Butler Technical University, Kanpur",PAINT TECHNOLOGY,Home State,OPEN(AF),84467,84467,Round 1
71,Round 1,"Harcourt Butler Technical University, Kanpur",PAINT TECHNOLOGY,Home State,OPEN GIRL,55433,65193,Round 1
72,Round 1,"Harcourt Butler Technical University, Kanpur",PAINT TECHNOLOGY,Home State,OPEN,45793,65849,Round 1
73,Round 1,"Harcourt Butler Technical University, Kanpur",PAINT TECHNOLOGY,Home State,SC(AF),439890,439890,Round 1
74,Round 1,"Harcourt Butler Technical University, Kanpur",PAINT TECHNOLOGY,Home State,SC(GIRL),237107,238408,Round 1
75,Round 1,"Harcourt Butler Technical University, Kanpur",PAINT TECHNOLOGY,Home State,SC,159825,181370,Round 1
76,Round 1,"Harcourt Butler Technical University, Kanpur",PAINT TECHNOLOGY,Home State,ST,351657,351657,Round 1
77,Round 1,"Harcourt Butler Technical University, Kanpur",PAINT TECHNOLOGY (FW),Home State,OPEN (TF),49720,57302,Round 1
78,Round 1,"Harcourt Butler Technical University, Kanpur",CIVIL ENGG.,All India,BC,61607,61607,Round 1
79,Round 1,"Harcourt Butler Technical University, Kanpur",CIVIL ENGG.,All India,OPEN,37787,37787,Round 1
80,Round 1,"Harcourt Butler Technical University, Kanpur",CIVIL ENGG.,All India,SC,158485,158485,Round 1
81,Round 1,"Harcourt Butler Technical University, Kanpur",CIVIL ENGG.,Home State,BC(AF),77433,77433,Round 1
82,Round 1,"Harcourt Butler Technical University, Kanpur",CIVIL ENGG.,Home State,BC(FF),200704,200704,Round 1
83,Round 1,"Harcourt Butler Technical University, Kanpur",CIVIL ENGG.,Home State,BC(GIRL),71452,79689,Round 1
84,Round 1,"Harcourt Butler Technical University, Kanpur",CIVIL ENGG.,Home State,BC,54306,59956,Round 1
85,Round 1,"Harcourt Butler Technical University, Kanpur",CIVIL ENGG.,Home State,BC(PH),861246,861246,Round 1
86,Round 1,"Harcourt Butler Technical University, Kanpur",CIVIL ENGG.,Home State,EWS(AF),122531,122531,Round 1
87,Round 1,"Harcourt Butler Technical University, Kanpur",CIVIL ENGG.,Home State,EWS(GIRL),63526,63526,Round 1
88,Round 1,"Harcourt Butler Technical University, Kanpur",CIVIL ENGG.,Home State,EWS,51987,54185,Round 1
89,Round 1,"Harcourt Butler Technical University, Kanpur",CIVIL ENGG.,Home State,OPEN(AF),60671,60671,Round 1
90,Round 1,"Harcourt Butler Technical University, Kanpur",CIVIL ENGG.,Home State,OPEN(FF),119399,119399,Round 1
91,Round 1,"Harcourt Butler Technical University, Kanpur",CIVIL ENGG.,Home State,OPEN GIRL,52502,59801,Round 1
92,Round 1,"Harcourt Butler Technical University, Kanpur",CIVIL ENGG.,Home State,OPEN,39607,50265,Round 1
93,Round 1,"Harcourt Butler Technical University, Kanpur",CIVIL ENGG.,Home State,OPEN(PH),795681,859717,Round 1
