Sr.No,Round ▲▼,Institute ▲▼,Program ▲▼,Quota ▲▼,Category ▲▼,Opening Rank ▲▼,Closing Rank ▲▼,Round_Name
1,Round 1,"Harcourt Butler Technical University, Kanpur",INFORMATION TECHNOLOGY,All India,BC,36921,36921,Round 1
2,Round 1,"Harcourt Butler Technical University, Kanpur",INFORMATION TECHNOLOGY,All India,OPEN,17650,23134,Round 1
3,Round 1,"Harcourt Butler Technical University, Kanpur",INFORMATION TECHNOLOGY,Home State,BC(AF),63977,63977,Round 1
4,Round 1,"Harcourt Butler Technical University, Kanpur",INFORMATION TECHNOLOGY,Home State,BC(GIRL),50205,53912,Round 1
5,Round 1,"Harcourt Butler Technical University, Kanpur",INFORMATION TECHNOLOGY,Home State,BC,36200,41908,Round 1
6,Round 1,"Harcourt Butler Technical University, Kanpur",INFORMATION TECHNOLOGY,Home State,BC(PH),673429,673429,Round 1
7,Round 1,"Harcourt Butler Technical University, Kanpur",INFORMATION TECHNOLOGY,Home State,EWS(GIRL),41440,42298,Round 1
8,Round 1,"Harcourt Butler Technical University, Kanpur",INFORMATION TECHNOLOGY,Home State,EWS,31965,33841,Round 1
9,Round 1,"Harcourt Butler Technical University, Kanpur",INFORMATION TECHNOLOGY,Home State,EWS(PH),498356,498356,Round 1
10,Round 1,"Harcourt Butler Technical University, Kanpur",INFORMATION TECHNOLOGY,Home State,OPEN(AF),32090,32090,Round 1
11,Round 1,"Harcourt Butler Technical University, Kanpur",INFORMATION TECHNOLOGY,Home State,OPEN(FF),60537,60537,Round 1
12,Round 1,"Harcourt Butler Technical University, Kanpur",INFORMATION TECHNOLOGY,Home State,OPEN GIRL,29019,39686,Round 1
13,Round 1,"Harcourt Butler Technical University, Kanpur",INFORMATION TECHNOLOGY,Home State,OPEN,22755,28771,Round 1
14,Round 1,"Harcourt Butler Technical University, Kanpur",INFORMATION TECHNOLOGY,Home State,OPEN(PH),246070,246070,Round 1
15,Round 1,"Harcourt Butler Technical University, Kanpur",INFORMATION TECHNOLOGY,Home State,SC(AF),193187,193187,Round 1
16,Round 1,"Harcourt Butler Technical University, Kanpur",INFORMATION TECHNOLOGY,Home State,SC(GIRL),163864,182818,Round 1
17,Round 1,"Harcourt Butler Technical University, Kanpur",INFORMATION TECHNOLOGY,Home State,SC,121813,144247,Round 1
18,Round 1,"Harcourt Butler Technical University, Kanpur",INFORMATION TECHNOLOGY,Home State,SC(PH),861393,861393,Round 1
19,Round 1,"Harcourt Butler Technical University, Kanpur",INFORMATION TECHNOLOGY,Home State,ST(GIRL),290235,290235,Round 1
20,Round 1,"Harcourt Butler Technical University, Kanpur",INFORMATION TECHNOLOGY,Home State,ST,301253,301253,Round 1
21,Round 1,"Harcourt Butler Technical University, Kanpur",INFORMATION TECHNOLOGY (FW),Home State,OPEN (TF),24068,27722,Round 1
22,Round 1,"Harcourt Butler Technical University, Kanpur",PLASTIC TECHNOLOGY,All India,OPEN,64235,71608,Round 1
23,Round 1,"Harcourt Butler Technical University, Kanpur",PLASTIC TECHNOLOGY,All India,ST,321627,321627,Round 1
24,Round 1,"Harcourt Butler Technical University, Kanpur",PLASTIC TECHNOLOGY,Home State,BC(AF),145526,145526,Round 1
25,Round 1,"Harcourt Butler Technical University, Kanpur",PLASTIC TECHNOLOGY,Home State,BC(GIRL),110329,124753,Round 1
26,Round 1,"Harcourt Butler Technical University, Kanpur",PLASTIC TECHNOLOGY,Home State,BC,97702,114498,Round 1
27,Round 1,"Harcourt Butler Technical University, Kanpur",PLASTIC TECHNOLOGY,Home State,EWS(GIRL),95992,95992,Round 1
28,Round 1,"Harcourt Butler Technical University, Kanpur",PLASTIC TECHNOLOGY,Home State,EWS,94049,101473,Round 1
29,Round 1,"Harcourt Butler Technical University, Kanpur",PLASTIC TECHNOLOGY,Home State,OPEN(AF),129834,129834,Round 1
30,Round 1,"Harcourt Butler Technical University, Kanpur",PLASTIC TECHNOLOGY,Home State,OPEN GIRL,91320,94463,Round 1
31,Round 1,"Harcourt Butler Technical University, Kanpur",PLASTIC TECHNOLOGY,Home State,OPEN,55895,92322,Round 1
32,Round 1,"Harcourt Butler Technical University, Kanpur",PLASTIC TECHNOLOGY,Home State,SC(GIRL),351604,372432,Round 1
33,Round 1,"Harcourt Butler Technical University, Kanpur",PLASTIC TECHNOLOGY,Home State,SC,265230,310200,Round 1
34,Round 1,"Harcourt Butler Technical University, Kanpur",PLASTIC TECHNOLOGY (FW),Home State,OPEN (TF),73200,78939,Round 1
35,Round 1,"Harcourt Butler Technical University, Kanpur",LEATHER TECHNOLOGY,All India,OPEN,56556,56556,Round 1
36,Round 1,"Harcourt Butler Technical University, Kanpur",LEATHER TECHNOLOGY,Home State,BC(GIRL),131669,137577,Round 1
37,Round 1,"Harcourt Butler Technical University, Kanpur",LEATHER TECHNOLOGY,Home State,BC,105191,120043,Round 1
38,Round 1,"Harcourt Butler Technical University, Kanpur",LEATHER TECHNOLOGY,Home State,EWS(GIRL),129350,129350,Round 1
39,Round 1,"Harcourt Butler Technical University, Kanpur",LEATHER TECHNOLOGY,Home State,EWS,104670,104670,Round 1
40,Round 1,"Harcourt Butler Technical University, Kanpur",LEATHER TECHNOLOGY,Home State,OPEN(AF),150852,150852,Round 1
41,Round 1,"Harcourt Butler Technical University, Kanpur",LEATHER TECHNOLOGY,Home State,OPEN GIRL,102091,108645,Round 1
42,Round 1,"Harcourt Butler Technical University, Kanpur",LEATHER TECHNOLOGY,Home State,OPEN,42379,100264,Round 1
43,Round 1,"Harcourt Butler Technical University, Kanpur",LEATHER TECHNOLOGY,Home State,SC,321812,348926,Round 1
44,Round 1,"Harcourt Butler Technical University, Kanpur",LEATHER TECHNOLOGY,Home State,ST,580258,580258,Round 1
45,Round 1,"Harcourt Butler Technical University, Kanpur",LEATHER TECHNOLOGY (FW),Home State,OPEN (TF),79481,79481,Round 1
46,Round 1,"Harcourt Butler Technical University, Kanpur",FOOD TECHNOLOGY,All India,BC,80039,80039,Round 1
47,Round 1,"Harcourt Butler Technical University, Kanpur",FOOD TECHNOLOGY,All India,OPEN,53007,53007,Round 1
