Sr.No,Round ▲▼,Institute ▲▼,Program ▲▼,Quota ▲▼,Category ▲▼,Opening Rank ▲▼,Closing Rank ▲▼,Round_Name
48,Round 1,"Harcourt Butler Technical University, Kanpur",FOOD TECHNOLOGY,All India,SC,406647,406647,Round 1
49,Round 1,"Harcourt Butler Technical University, Kanpur",FOOD TECHNOLOGY,Home State,BC(AF),151487,151487,Round 1
50,Round 1,"Harcourt Butler Technical University, Kanpur",FOOD TECHNOLOGY,Home State,BC(GIRL),97164,127098,Round 1
51,Round 1,"Harcourt Butler Technical University, Kanpur",FOOD TECHNOLOGY,Home State,BC,99028,118490,Round 1
52,Round 1,"Harcourt Butler Technical University, Kanpur",FOOD TECHNOLOGY,Home State,EWS(GIRL),106275,122291,Round 1
53,Round 1,"Harcourt Butler Technical University, Kanpur",FOOD TECHNOLOGY,Home State,EWS,100667,104091,Round 1
54,Round 1,"Harcourt Butler Technical University, Kanpur",FOOD TECHNOLOGY,Home State,OPEN(AF),113261,113261,Round 1
55,Round 1,"Harcourt Butler Technical University, Kanpur",FOOD TECHNOLOGY,Home State,OPEN GIRL,83680,96295,Round 1
56,Round 1,"Harcourt Butler Technical University, Kanpur",FOOD TECHNOLOGY,Home State,OPEN,66558,98308,Round 1
57,Round 1,"Harcourt Butler Technical University, Kanpur",FOOD TECHNOLOGY,Home State,OPEN(PH),571153,571153,Round 1
58,Round 1,"Harcourt Butler Technical University, Kanpur",FOOD TECHNOLOGY,Home State,SC(AF),1063498,1063498,Round 1
59,Round 1,"Harcourt Butler Technical University, Kanpur",FOOD TECHNOLOGY,Home State,SC(GIRL),338720,420162,Round 1
60,Round 1,"Harcourt Butler Technical University, Kanpur",FOOD TECHNOLOGY,Home State,SC,257824,330628,Round 1
61,Round 1,"Harcourt Butler Technical University, Kanpur",FOOD TECHNOLOGY (FW),Home State,OPEN (TF),57427,89019,Round 1
62,Round 1,"Harcourt Butler Technical University, Kanpur",PAINT TECHNOLOGY,All India,OPEN,59604,65574,Round 1
63,Round 1,"Harcourt Butler Technical University, Kanpur",PAINT TECHNOLOGY,All India,SC,246691,246691,Round 1
64,Round 1,"Harcourt Butler Technical University, Kanpur",PAINT TECHNOLOGY,Home State,BC(AF),124759,124759,Round 1
65,Round 1,"Harcourt Butler Technical University, Kanpur",PAINT TECHNOLOGY,Home State,BC(GIRL),93828,101346,Round 1
66,Round 1,"Harcourt Butler Technical University, Kanpur",PAINT TECHNOLOGY,Home State,BC,79363,95980,Round 1
67,Round 1,"Harcourt Butler Technical University, Kanpur",PAINT TECHNOLOGY,Home State,EWS(GIRL),89910,89910,Round 1
68,Round 1,"Harcourt Butler Technical University, Kanpur",PAINT TECHNOLOGY,Home State,EWS,77991,84110,Round 1
69,Round 1,"Harcourt Butler Technical University, Kanpur",PAINT TECHNOLOGY,Home State,OPEN(AF),101225,101225,Round 1
70,Round 1,"Harcourt Butler Technical University, Kanpur",PAINT TECHNOLOGY,Home State,OPEN GIRL,78813,88227,Round 1
71,Round 1,"Harcourt Butler Technical University, Kanpur",PAINT TECHNOLOGY,Home State,OPEN,62630,77242,Round 1
72,Round 1,"Harcourt Butler Technical University, Kanpur",PAINT TECHNOLOGY,Home State,OPEN(PH),1079401,1079401,Round 1
73,Round 1,"Harcourt Butler Technical University, Kanpur",PAINT TECHNOLOGY,Home State,SC(AF),630225,630225,Round 1
74,Round 1,"Harcourt Butler Technical University, Kanpur",PAINT TECHNOLOGY,Home State,SC(GIRL),275386,289624,Round 1
75,Round 1,"Harcourt Butler Technical University, Kanpur",PAINT TECHNOLOGY,Home State,SC,208260,254640,Round 1
76,Round 1,"Harcourt Butler Technical University, Kanpur",PAINT TECHNOLOGY,Home State,ST,424606,424606,Round 1
77,Round 1,"Harcourt Butler Technical University, Kanpur",PAINT TECHNOLOGY (FW),Home State,OPEN (TF),60785,72076,Round 1
78,Round 1,"Harcourt Butler Technical University, Kanpur",CIVIL ENGG.,All India,BC,74509,74509,Round 1
79,Round 1,"Harcourt Butler Technical University, Kanpur",CIVIL ENGG.,All India,OPEN,49456,49456,Round 1
80,Round 1,"Harcourt Butler Technical University, Kanpur",CIVIL ENGG.,All India,SC,172002,172002,Round 1
81,Round 1,"Harcourt Butler Technical University, Kanpur",CIVIL ENGG.,Home State,BC(AF),96148,96148,Round 1
82,Round 1,"Harcourt Butler Technical University, Kanpur",CIVIL ENGG.,Home State,BC(GIRL),82885,88409,Round 1
83,Round 1,"Harcourt Butler Technical University, Kanpur",CIVIL ENGG.,Home State,BC,63950,73355,Round 1
84,Round 1,"Harcourt Butler Technical University, Kanpur",CIVIL ENGG.,Home State,EWS(AF),212799,212799,Round 1
85,Round 1,"Harcourt Butler Technical University, Kanpur",CIVIL ENGG.,Home State,EWS(GIRL),76587,76587,Round 1
86,Round 1,"Harcourt Butler Technical University, Kanpur",CIVIL ENGG.,Home State,EWS,62738,64429,Round 1
87,Round 1,"Harcourt Butler Technical University, Kanpur",CIVIL ENGG.,Home State,OPEN(AF),74573,74573,Round 1
88,Round 1,"Harcourt Butler Technical University, Kanpur",CIVIL ENGG.,Home State,OPEN GIRL,66468,74977,Round 1
89,Round 1,"Harcourt Butler Technical University, Kanpur",CIVIL ENGG.,Home State,OPEN,50555,62403,Round 1
90,Round 1,"Harcourt Butler Technical University, Kanpur",CIVIL ENGG.,Home State,OPEN(PH),670677,1273069,Round 1
91,Round 1,"Harcourt Butler Technical University, Kanpur",CIVIL ENGG.,Home State,SC(AF),412073,412073,Round 1
92,Round 1,"Harcourt Butler Technical University, Kanpur",CIVIL ENGG.,Home State,SC(GIRL),239542,264259,Round 1
93,Round 1,"Harcourt Butler Technical University, Kanpur",CIVIL ENGG.,Home State,SC,186482,225277,Round 1
94,Round 1,"Harcourt Butler Technical University, Kanpur",CIVIL ENGG.,Home State,ST(GIRL),550189,550189,Round 1
95,Round 1,"Harcourt Butler Technical University, Kanpur",CIVIL ENGG.,Home State,ST,383127,383127,Round 1
96,Round 1,"Harcourt Butler Technical University, Kanpur",CIVIL ENGG. (FW),Home State,OPEN (TF),55454,61276,Round 1
97,Round 1,"Harcourt Butler Technical University, Kanpur",COMPUTER SC. & ENGG.,All India,BC,30621,30621,Round 1
98,Round 1,"Harcourt Butler Technical University, Kanpur",COMPUTER SC. & ENGG.,All India,OPEN,12718,16823,Round 1
99,Round 1,"Harcourt Butler Technical University, Kanpur",COMPUTER SC. & ENGG.,Home State,BC(AF),35612,35612,Round 1
100,Round 1,"Harcourt Butler Technical University, Kanpur",COMPUTER SC. & ENGG.,Home State,BC(GIRL),33293,49998,Round 1
101,Round 1,"Harcourt Butler Technical University, Kanpur",COMPUTER SC. & ENGG.,Home State,BC,22000,35340,Round 1
102,Round 1,"Harcourt Butler Technical University, Kanpur",COMPUTER SC. & ENGG.,Home State,BC(PH),513732,513732,Round 1
103,Round 1,"Harcourt Butler Technical University, Kanpur",COMPUTER SC. & ENGG.,Home State,EWS(GIRL),34802,34802,Round 1
104,Round 1,"Harcourt Butler Technical University, Kanpur",COMPUTER SC. & ENGG.,Home State,EWS,21916,29038,Round 1
105,Round 1,"Harcourt Butler Technical University, Kanpur",COMPUTER SC. & ENGG.,Home State,EWS(PH),375654,375654,Round 1
106,Round 1,"Harcourt Butler Technical University, Kanpur",COMPUTER SC. & ENGG.,Home State,OPEN(AF),27966,29792,Round 1
107,Round 1,"Harcourt Butler Technical University, Kanpur",COMPUTER SC. & ENGG.,Home State,OPEN GIRL,17923,28910,Round 1
108,Round 1,"Harcourt Butler Technical University, Kanpur",COMPUTER SC. & ENGG.,Home State,OPEN,6788,21878,Round 1
109,Round 1,"Harcourt Butler Technical University, Kanpur",COMPUTER SC. & ENGG.,Home State,OPEN(PH),106597,120131,Round 1
110,Round 1,"Harcourt Butler Technical University, Kanpur",COMPUTER SC. & ENGG.,Home State,SC(AF),191480,191480,Round 1
111,Round 1,"Harcourt Butler Technical University, Kanpur",COMPUTER SC. & ENGG.,Home State,SC(GIRL),102382,133371,Round 1
112,Round 1,"Harcourt Butler Technical University, Kanpur",COMPUTER SC. & ENGG.,Home State,SC,43842,112557,Round 1
113,Round 1,"Harcourt Butler Technical University, Kanpur",COMPUTER SC. & ENGG.,Home State,SC(PH),713264,713264,Round 1
114,Round 1,"Harcourt Butler Technical University, Kanpur",COMPUTER SC. & ENGG.,Home State,ST,275563,275563,Round 1
115,Round 1,"Harcourt Butler Technical University, Kanpur",COMPUTER SC. & ENGG. (FW),Home State,OPEN (TF),15983,20946,Round 1
116,Round 1,"Harcourt Butler Technical University, Kanpur",ELECTRICAL ENGG.,All India,BC,40811,40811,Round 1
117,Round 1,"Harcourt Butler Technical University, Kanpur",ELECTRICAL ENGG.,All India,OPEN,22203,31284,Round 1
118,Round 1,"Harcourt Butler Technical University, Kanpur",ELECTRICAL ENGG.,Home State,BC(AF),65223,65223,Round 1
119,Round 1,"Harcourt Butler Technical University, Kanpur",ELECTRICAL ENGG.,Home State,BC(GIRL),62795,69015,Round 1
120,Round 1,"Harcourt Butler Technical University, Kanpur",ELECTRICAL ENGG.,Home State,BC,45680,54214,Round 1
121,Round 1,"Harcourt Butler Technical University, Kanpur",ELECTRICAL ENGG.,Home State,EWS(GIRL),52548,52548,Round 1
122,Round 1,"Harcourt Butler Technical University, Kanpur",ELECTRICAL ENGG.,Home State,EWS,43590,45204,Round 1
123,Round 1,"Harcourt Butler Technical University, Kanpur",ELECTRICAL ENGG.,Home State,EWS(PH),632041,632041,Round 1
124,Round 1,"Harcourt Butler Technical University, Kanpur",ELECTRICAL ENGG.,Home State,OPEN(AF),49146,49354,Round 1
125,Round 1,"Harcourt Butler Technical University, Kanpur",ELECTRICAL ENGG.,Home State,OPEN(FF),166548,166548,Round 1
126,Round 1,"Harcourt Butler Technical University, Kanpur",ELECTRICAL ENGG.,Home State,OPEN GIRL,42031,48917,Round 1
127,Round 1,"Harcourt Butler Technical University, Kanpur",ELECTRICAL ENGG.,Home State,OPEN,26172,42286,Round 1
128,Round 1,"Harcourt Butler Technical University, Kanpur",ELECTRICAL ENGG.,Home State,OPEN(PH),587573,587573,Round 1
129,Round 1,"Harcourt Butler Technical University, Kanpur",ELECTRICAL ENGG.,Home State,SC(AF),276483,276483,Round 1
130,Round 1,"Harcourt Butler Technical University, Kanpur",ELECTRICAL ENGG.,Home State,SC(GIRL),209949,226753,Round 1
131,Round 1,"Harcourt Butler Technical University, Kanpur",ELECTRICAL ENGG.,Home State,SC,150178,186101,Round 1
132,Round 1,"Harcourt Butler Technical University, Kanpur",ELECTRICAL ENGG.,Home State,ST(GIRL),318261,318261,Round 1
133,Round 1,"Harcourt Butler Technical University, Kanpur",ELECTRICAL ENGG.,Home State,ST,304547,304547,Round 1
134,Round 1,"Harcourt Butler Technical University, Kanpur",ELECTRICAL ENGG. (FW),Home State,OPEN (TF),25207,37145,Round 1
135,Round 1,"Harcourt Butler Technical University, Kanpur",ELECTRONICS ENGG.,All India,BC,38255,38255,Round 1
136,Round 1,"Harcourt Butler Technical University, Kanpur",ELECTRONICS ENGG.,All India,OPEN,20718,20718,Round 1
137,Round 1,"Harcourt Butler Technical University, Kanpur",ELECTRONICS ENGG.,All India,SC,117543,117543,Round 1
138,Round 1,"Harcourt Butler Technical University, Kanpur",ELECTRONICS ENGG.,Home State,BC(AF),63027,63027,Round 1
139,Round 1,"Harcourt Butler Technical University, Kanpur",ELECTRONICS ENGG.,Home State,BC(GIRL),50791,62123,Round 1
140,Round 1,"Harcourt Butler Technical University, Kanpur",ELECTRONICS ENGG.,Home State,BC,42903,50460,Round 1
141,Round 1,"Harcourt Butler Technical University, Kanpur",ELECTRONICS ENGG.,Home State,BC(PH),955944,955944,Round 1
142,Round 1,"Harcourt Butler Technical University, Kanpur",ELECTRONICS ENGG.,Home State,EWS(AF),48842,48842,Round 1
143,Round 1,"Harcourt Butler Technical University, Kanpur",ELECTRONICS ENGG.,Home State,EWS(GIRL),43983,47658,Round 1
144,Round 1,"Harcourt Butler Technical University, Kanpur",ELECTRONICS ENGG.,Home State,EWS,35373,41623,Round 1
145,Round 1,"Harcourt Butler Technical University, Kanpur",ELECTRONICS ENGG.,Home State,OPEN(AF),47142,47142,Round 1
146,Round 1,"Harcourt Butler Technical University, Kanpur",ELECTRONICS ENGG.,Home State,OPEN(FF),99847,99847,Round 1
147,Round 1,"Harcourt Butler Technical University, Kanpur",ELECTRONICS ENGG.,Home State,OPEN GIRL,28909,40990,Round 1
148,Round 1,"Harcourt Butler Technical University, Kanpur",ELECTRONICS ENGG.,Home State,OPEN,27252,34558,Round 1
149,Round 1,"Harcourt Butler Technical University, Kanpur",ELECTRONICS ENGG.,Home State,OPEN(PH),273025,503669,Round 1
150,Round 1,"Harcourt Butler Technical University, Kanpur",ELECTRONICS ENGG.,Home State,SC(AF),318408,318408,Round 1
151,Round 1,"Harcourt Butler Technical University, Kanpur",ELECTRONICS ENGG.,Home State,SC(GIRL),189150,195518,Round 1
152,Round 1,"Harcourt Butler Technical University, Kanpur",ELECTRONICS ENGG.,Home State,SC,135541,175556,Round 1
153,Round 1,"Harcourt Butler Technical University, Kanpur",ELECTRONICS ENGG.,Home State,ST,324788,324788,Round 1
154,Round 1,"Harcourt Butler Technical University, Kanpur",ELECTRONICS ENGG. (FW),Home State,OPEN (TF),30115,30909,Round 1
155,Round 1,"Harcourt Butler Technical University, Kanpur",MECHANICAL ENGG.,All India,BC,41119,41119,Round 1
156,Round 1,"Harcourt Butler Technical University, Kanpur",MECHANICAL ENGG.,All India,OPEN,37639,37639,Round 1
157,Round 1,"Harcourt Butler Technical University, Kanpur",MECHANICAL ENGG.,All India,SC,188280,188280,Round 1
158,Round 1,"Harcourt Butler Technical University, Kanpur",MECHANICAL ENGG.,Home State,BC(AF),72661,72661,Round 1
159,Round 1,"Harcourt Butler Technical University, Kanpur",MECHANICAL ENGG.,Home State,BC(GIRL),68206,81610,Round 1
160,Round 1,"Harcourt Butler Technical University, Kanpur",MECHANICAL ENGG.,Home State,BC,54660,63334,Round 1
161,Round 1,"Harcourt Butler Technical University, Kanpur",MECHANICAL ENGG.,Home State,EWS(AF),73947,73947,Round 1
162,Round 1,"Harcourt Butler Technical University, Kanpur",MECHANICAL ENGG.,Home State,EWS(GIRL),66000,66000,Round 1
163,Round 1,"Harcourt Butler Technical University, Kanpur",MECHANICAL ENGG.,Home State,EWS,51278,58566,Round 1
164,Round 1,"Harcourt Butler Technical University, Kanpur",MECHANICAL ENGG.,Home State,OPEN(AF),51936,51936,Round 1
165,Round 1,"Harcourt Butler Technical University, Kanpur",MECHANICAL ENGG.,Home State,OPEN(FF),312072,312072,Round 1
166,Round 1,"Harcourt Butler Technical University, Kanpur",MECHANICAL ENGG.,Home State,OPEN GIRL,55905,65285,Round 1
167,Round 1,"Harcourt Butler Technical University, Kanpur",MECHANICAL ENGG.,Home State,OPEN,38215,48656,Round 1
168,Round 1,"Harcourt Butler Technical University, Kanpur",MECHANICAL ENGG.,Home State,OPEN(PH),996490,1032904,Round 1
169,Round 1,"Harcourt Butler Technical University, Kanpur",MECHANICAL ENGG.,Home State,SC(AF),358532,358532,Round 1
170,Round 1,"Harcourt Butler Technical University, Kanpur",MECHANICAL ENGG.,Home State,SC(GIRL),222288,242940,Round 1
171,Round 1,"Harcourt Butler Technical University, Kanpur",MECHANICAL ENGG.,Home State,SC,186743,196791,Round 1
172,Round 1,"Harcourt Butler Technical University, Kanpur",MECHANICAL ENGG.,Home State,ST,359581,359581,Round 1
173,Round 1,"Harcourt Butler Technical University, Kanpur",MECHANICAL ENGG. (FW),Home State,OPEN (TF),26160,45646,Round 1
174,Round 1,"Harcourt Butler Technical University, Kanpur",CHEMICAL ENGG.,All India,BC,63475,63475,Round 1
175,Round 1,"Harcourt Butler Technical University, Kanpur",CHEMICAL ENGG.,All India,OPEN,26281,42429,Round 1
176,Round 1,"Harcourt Butler Technical University, Kanpur",CHEMICAL ENGG.,Home State,BC(AF),76365,76365,Round 1
177,Round 1,"Harcourt Butler Technical University, Kanpur",CHEMICAL ENGG.,Home State,BC(GIRL),69218,83027,Round 1
178,Round 1,"Harcourt Butler Technical University, Kanpur",CHEMICAL ENGG.,Home State,BC,58536,71585,Round 1
179,Round 1,"Harcourt Butler Technical University, Kanpur",CHEMICAL ENGG.,Home State,EWS(GIRL),62511,69330,Round 1
180,Round 1,"Harcourt Butler Technical University, Kanpur",CHEMICAL ENGG.,Home State,EWS,58463,60356,Round 1
181,Round 1,"Harcourt Butler Technical University, Kanpur",CHEMICAL ENGG.,Home State,OPEN(AF),57719,57719,Round 1
182,Round 1,"Harcourt Butler Technical University, Kanpur",CHEMICAL ENGG.,Home State,OPEN(FF),1052434,1052434,Round 1
183,Round 1,"Harcourt Butler Technical University, Kanpur",CHEMICAL ENGG.,Home State,OPEN GIRL,48228,52496,Round 1
184,Round 1,"Harcourt Butler Technical University, Kanpur",CHEMICAL ENGG.,Home State,OPEN,39960,54403,Round 1
185,Round 1,"Harcourt Butler Technical University, Kanpur",CHEMICAL ENGG.,Home State,OPEN(PH),1184610,1307887,Round 1
186,Round 1,"Harcourt Butler Technical University, Kanpur",CHEMICAL ENGG.,Home State,SC(AF),402160,402160,Round 1
187,Round 1,"Harcourt Butler Technical University, Kanpur",CHEMICAL ENGG.,Home State,SC(GIRL),186439,219238,Round 1
188,Round 1,"Harcourt Butler Technical University, Kanpur",CHEMICAL ENGG.,Home State,SC,190540,222933,Round 1
189,Round 1,"Harcourt Butler Technical University, Kanpur",CHEMICAL ENGG.,Home State,ST,386266,386266,Round 1
190,Round 1,"Harcourt Butler Technical University, Kanpur",CHEMICAL ENGG. (FW),Home State,OPEN (TF),46820,49919,Round 1
191,Round 1,"Harcourt Butler Technical University, Kanpur",BIO CHEMICAL ENGG.,All India,BC,78818,78818,Round 1
192,Round 1,"Harcourt Butler Technical University, Kanpur",BIO CHEMICAL ENGG.,All India,OPEN,56053,56053,Round 1
193,Round 1,"Harcourt Butler Technical University, Kanpur",BIO CHEMICAL ENGG.,All India,SC,219618,219618,Round 1
194,Round 1,"Harcourt Butler Technical University, Kanpur",BIO CHEMICAL ENGG.,Home State,BC(GIRL),82411,103998,Round 1
195,Round 1,"Harcourt Butler Technical University, Kanpur",BIO CHEMICAL ENGG.,Home State,BC,76823,90017,Round 1
196,Round 1,"Harcourt Butler Technical University, Kanpur",BIO CHEMICAL ENGG.,Home State,EWS(GIRL),85922,85922,Round 1
197,Round 1,"Harcourt Butler Technical University, Kanpur",BIO CHEMICAL ENGG.,Home State,EWS,86503,97159,Round 1
198,Round 1,"Harcourt Butler Technical University, Kanpur",BIO CHEMICAL ENGG.,Home State,OPEN(AF),100407,100407,Round 1
199,Round 1,"Harcourt Butler Technical University, Kanpur",BIO CHEMICAL ENGG.,Home State,OPEN GIRL,48983,78466,Round 1
200,Round 1,"Harcourt Butler Technical University, Kanpur",BIO CHEMICAL ENGG.,Home State,OPEN,57713,75257,Round 1
201,Round 1,"Harcourt Butler Technical University, Kanpur",BIO CHEMICAL ENGG.,Home State,SC(AF),461163,461163,Round 1
202,Round 1,"Harcourt Butler Technical University, Kanpur",BIO CHEMICAL ENGG.,Home State,SC(GIRL),231504,331520,Round 1
203,Round 1,"Harcourt Butler Technical University, Kanpur",BIO CHEMICAL ENGG.,Home State,SC,233182,281409,Round 1
204,Round 1,"Harcourt Butler Technical University, Kanpur",BIO CHEMICAL ENGG.,Home State,ST,580020,580020,Round 1
205,Round 1,"Harcourt Butler Technical University, Kanpur",BIO CHEMICAL ENGG. (FW),Home State,OPEN (TF),68201,74821,Round 1
206,Round 1,"Harcourt Butler Technical University, Kanpur",OIL TECHNOLOGY,All India,BC,90582,90582,Round 1
207,Round 1,"Harcourt Butler Technical University, Kanpur",OIL TECHNOLOGY,All India,OPEN,59718,59718,Round 1
208,Round 1,"Harcourt Butler Technical University, Kanpur",OIL TECHNOLOGY,All India,SC,243268,243268,Round 1
209,Round 1,"Harcourt Butler Technical University, Kanpur",OIL TECHNOLOGY,Home State,BC(AF),129571,129571,Round 1
210,Round 1,"Harcourt Butler Technical University, Kanpur",OIL TECHNOLOGY,Home State,BC(GIRL),103018,112797,Round 1
211,Round 1,"Harcourt Butler Technical University, Kanpur",OIL TECHNOLOGY,Home State,BC,87093,101398,Round 1
212,Round 1,"Harcourt Butler Technical University, Kanpur",OIL TECHNOLOGY,Home State,EWS(GIRL),117437,117437,Round 1
213,Round 1,"Harcourt Butler Technical University, Kanpur",OIL TECHNOLOGY,Home State,EWS,91204,98919,Round 1
214,Round 1,"Harcourt Butler Technical University, Kanpur",OIL TECHNOLOGY,Home State,OPEN(AF),89654,117765,Round 1
215,Round 1,"Harcourt Butler Technical University, Kanpur",OIL TECHNOLOGY,Home State,OPEN GIRL,48215,88399,Round 1
216,Round 1,"Harcourt Butler Technical University, Kanpur",OIL TECHNOLOGY,Home State,OPEN,58658,86968,Round 1
217,Round 1,"Harcourt Butler Technical University, Kanpur",OIL TECHNOLOGY,Home State,OPEN(PH),1004620,1004620,Round 1
218,Round 1,"Harcourt Butler Technical University, Kanpur",OIL TECHNOLOGY,Home State,SC(AF),704896,704896,Round 1
219,Round 1,"Harcourt Butler Technical University, Kanpur",OIL TECHNOLOGY,Home State,SC(GIRL),239641,427449,Round 1
220,Round 1,"Harcourt Butler Technical University, Kanpur",OIL TECHNOLOGY,Home State,SC,230566,315135,Round 1
221,Round 1,"Harcourt Butler Technical University, Kanpur",OIL TECHNOLOGY,Home State,ST,551127,551127,Round 1
222,Round 1,"Harcourt Butler Technical University, Kanpur",OIL TECHNOLOGY (FW),Home State,OPEN (TF),78399,89979,Round 1
